集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202501091500,202501091600,Link16_3_18,241,Link10_A_out
202501091600,202501091700,Link16_3_18,290,Link10_A_out
202501091700,202501091800,Link16_3_18,299,Link10_A_out
202501091800,202501091900,Link16_3_18,297,Link10_A_out
202501091900,202501092000,Link16_3_18,239,Link10_A_out
202501090700,202501090800,Link15_17_3,352,Link10_B_in
202501090800,202501090900,Link15_17_3,363,Link10_B_in
202501090900,202501091000,Link15_17_3,313,Link10_B_in
202501091000,202501091100,Link15_17_3,271,Link10_B_in
202501091100,202501091200,Link15_17_3,266,Link10_B_in
202501091200,202501091300,Link15_17_3,249,Link10_B_in
202501091300,202501091400,Link15_17_3,258,Link10_B_in
202501091400,202501091500,Link15_17_3,282,Link10_B_in
202501091500,202501091600,Link15_17_3,305,Link10_B_in
202501091600,202501091700,Link15_17_3,349,Link10_B_in
202501091700,202501091800,Link15_17_3,357,Link10_B_in
202501091800,202501091900,Link15_17_3,327,Link10_B_in
202501091900,202501092000,Link15_17_3,272,Link10_B_in
202501090700,202501090800,Link15_3_17,463,Link10_B_out
202501090800,202501090900,Link15_3_17,557,Link10_B_out
202501090900,202501091000,Link15_3_17,369,Link10_B_out
202501091000,202501091100,Link15_3_17,334,Link10_B_out
202501091100,202501091200,Link15_3_17,330,Link10_B_out
202501091200,202501091300,Link15_3_17,297,Link10_B_out
202501091300,202501091400,Link15_3_17,312,Link10_B_out
202501091400,202501091500,Link15_3_17,338,Link10_B_out
202501091500,202501091600,Link15_3_17,342,Link10_B_out
202501091600,202501091700,Link15_3_17,439,Link10_B_out
202501091700,202501091800,Link15_3_17,468,Link10_B_out
202501091800,202501091900,Link15_3_17,387,Link10_B_out
202501091900,202501092000,Link15_3_17,289,Link10_B_out
202501090700,202501090800,Link12_3_15,33,Link10_C_in
202501090800,202501090900,Link12_3_15,56,Link10_C_in
202501090900,202501091000,Link12_3_15,49,Link10_C_in
202501091000,202501091100,Link12_3_15,63,Link10_C_in
202501091100,202501091200,Link12_3_15,53,Link10_C_in
202501091200,202501091300,Link12_3_15,58,Link10_C_in
202501091300,202501091400,Link12_3_15,59,Link10_C_in
202501091400,202501091500,Link12_3_15,60,Link10_C_in
202501091500,202501091600,Link12_3_15,55,Link10_C_in
202501091600,202501091700,Link12_3_15,68,Link10_C_in
202501091700,202501091800,Link12_3_15,67,Link10_C_in
202501091800,202501091900,Link12_3_15,52,Link10_C_in
202501091900,202501092000,Link12_3_15,50,Link10_C_in
202501090700,202501090800,Link12_15_3,223,Link10_C_out
202501090800,202501090900,Link12_15_3,133,Link10_C_out
202501090900,202501091000,Link12_15_3,104,Link10_C_out
202501091000,202501091100,Link12_15_3,99,Link10_C_out
202501091100,202501091200,Link12_15_3,100,Link10_C_out
202501091200,202501091300,Link12_15_3,103,Link10_C_out
202501091300,202501091400,Link12_15_3,106,Link10_C_out
202501091400,202501091500,Link12_15_3,89,Link10_C_out
202501091500,202501091600,Link12_15_3,114,Link10_C_out
202501091600,202501091700,Link12_15_3,193,Link10_C_out
202501091700,202501091800,Link12_15_3,170,Link10_C_out
202501091800,202501091900,Link12_15_3,182,Link10_C_out
202501091900,202501092000,Link12_15_3,140,Link10_C_out
202501090700,202501090800,Link14_16_3,581,Link10_D_in
202501090800,202501090900,Link14_16_3,589,Link10_D_in
202501090900,202501091000,Link14_16_3,391,Link10_D_in
202501091000,202501091100,Link14_16_3,324,Link10_D_in
202501091100,202501091200,Link14_16_3,341,Link10_D_in
202501091200,202501091300,Link14_16_3,359,Link10_D_in
202501091300,202501091400,Link14_16_3,366,Link10_D_in
202501091400,202501091500,Link14_16_3,358,Link10_D_in
202501091500,202501091600,Link14_16_3,403,Link10_D_in
202501091600,202501091700,Link14_16_3,540,Link10_D_in
202501091700,202501091800,Link14_16_3,495,Link10_D_in
202501091800,202501091900,Link14_16_3,462,Link10_D_in
202501091900,202501092000,Link14_16_3,379,Link10_D_in
202501090700,202501090800,Link14_3_16,288,Link10_D_out
202501090800,202501090900,Link14_3_16,281,Link10_D_out
202501090900,202501091000,Link14_3_16,299,Link10_D_out
202501091000,202501091100,Link14_3_16,319,Link10_D_out
202501091100,202501091200,Link14_3_16,307,Link10_D_out
202501091200,202501091300,Link14_3_16,292,Link10_D_out
202501091300,202501091400,Link14_3_16,260,Link10_D_out
202501091400,202501091500,Link14_3_16,286,Link10_D_out
202501091500,202501091600,Link14_3_16,323,Link10_D_out
202501091600,202501091700,Link14_3_16,325,Link10_D_out
202501091700,202501091800,Link14_3_16,333,Link10_D_out
202501091800,202501091900,Link14_3_16,263,Link10_D_out
202501091900,202501092000,Link14_3_16,239,Link10_D_out
